date,skipper,boat,latitude,longitude,heading,kph,vmg,temp,windgust,windspeed,winddir
2020-11-08 12:02:00,Miranda MERRON,,46.5022222222222,-1.79,0,0.0,0.0,16.2,22.5,14.1,128
2020-11-08 14:00:00,Miranda MERRON,,46.4233333333333,-1.80555555555556,358,0.0,0.0,18.4,27.2,15.1,141
2020-11-08 15:00:00,Miranda MERRON,,46.3091666666667,-2.23666666666667,249,23.09,12.36,17.2,32.9,17.7,142
2020-11-08 17:00:00,Miranda MERRON,,46.1736111111111,-2.79694444444444,251,30.43,16.17,15.1,35.3,22.3,150.0
2020-11-08 21:00:00,Miranda MERRON,,46.0030555555556,-4.01694444444444,258,24.0,12.23,16.4,25.6,18.7,185.9
2020-11-09 04:00:00,Miranda MERRON,,46.0213888888889,-5.5775,270,17.22,7.52,15.5,41.4,32.4,209.0
2020-11-09 08:00:00,Miranda MERRON,,46.0819444444444,-6.37055555555555,276,17.59,5.77,14.6,37.8,27.7,235.4
2020-11-09 11:00:00,Miranda MERRON,,46.1636111111111,-6.99972222222222,280,16.45,3.77,15.3,32.0,21.2,245.1
2020-11-09 14:00:00,Miranda MERRON,,46.0238888888889,-7.42805555555556,245,12.17,5.3,15.0,31.3,19.4,245.9
2020-11-09 17:00:00,Miranda MERRON,,45.6188888888889,-7.72305555555556,207,16.83,9.08,15.1,28.4,22.0,277.8
2020-11-09 21:00:00,Miranda MERRON,,45.0788888888889,-8.37166666666667,220,17.46,9.05,15.1,27.0,19.8,275.3
2020-11-10 04:00:00,Miranda MERRON,,44.3008333333333,-8.74416666666667,199,13.06,7.03,14.9,14.4,13.3,221.5
2020-11-10 08:00:00,Miranda MERRON,,44.0436111111111,-9.27194444444445,236,12.72,5.76,15.2,23.8,18.4,205.7
2020-11-10 11:00:00,Miranda MERRON,,43.9894444444444,-9.845,262,15.41,4.13,15.7,29.2,23.4,200.5
2020-11-10 14:00:00,Miranda MERRON,,43.9330555555556,-10.4922222222222,263,17.39,4.47,16.0,38.2,28.8,204.7
2020-11-10 17:00:00,Miranda MERRON,,43.8261111111111,-11.0352777777778,255,18.06,5.72,16.5,41.4,32.0,199.3
2020-11-10 21:00:00,Miranda MERRON,,43.5594444444444,-12.1027777777778,251,20.19,6.88,16.8,52.2,35.3,195.8
2020-11-11 04:00:00,Miranda MERRON,,43.0983333333333,-13.7772222222222,249,20.69,7.13,17.1,68.0,46.8,185.1
2020-11-11 08:00:00,Miranda MERRON,,42.9997222222222,-14.6980555555556,261,18.91,4.29,16.8,64.1,39.6,314.1
2020-11-11 11:00:00,Miranda MERRON,,42.6472222222222,-15.08,218,16.69,8.27,15.2,41.4,28.4,319.7
2020-11-11 14:00:00,Miranda MERRON,,42.2772222222222,-15.5644444444444,224,19.08,8.97,15.1,29.9,22.7,330.8
2020-11-11 17:00:00,Miranda MERRON,,42.0202777777778,-15.9636111111111,229,14.54,6.42,15.0,23.8,11.9,13.2
2020-11-11 21:00:00,Miranda MERRON,,41.8183333333333,-16.2613888888889,228,8.33,3.72,15.1,18.4,10.4,88.2
2020-11-12 04:00:00,Miranda MERRON,,41.0130555555556,-16.9263888888889,212,15.04,7.7,17.5,24.8,18.4,116.2
2020-11-12 08:00:00,Miranda MERRON,,40.5563888888889,-17.6697222222222,231,20.15,8.51,18.3,33.5,27.0,177.6
2020-11-12 11:00:00,Miranda MERRON,,40.3613888888889,-18.3472222222222,249,20.43,5.87,18.2,52.2,34.6,162.5
2020-11-12 14:00:00,Miranda MERRON,,40.1586111111111,-19.0697222222222,250,21.78,5.99,18.8,25.9,10.1,272.4
2020-11-12 17:00:00,Miranda MERRON,,39.91,-19.6258333333333,240,18.28,6.29,17.4,49.3,36.0,359.8
2020-11-12 21:00:00,Miranda MERRON,,39.365,-20.4633333333333,230,23.46,9.54,17.1,39.2,25.2,7.0
2020-11-13 04:00:00,Miranda MERRON,,38.7816666666667,-21.5758333333333,236,16.56,5.93,17.2,22.7,11.5,47.1
2020-11-13 08:00:00,Miranda MERRON,,38.6063888888889,-21.7380555555556,216,6.0,2.8,17.3,6.8,0.7,85.6
2020-11-13 11:00:00,Miranda MERRON,,38.4455555555556,-21.7622222222222,187,6.0,3.24,17.3,6.1,4.0,326.0
2020-11-13 14:00:00,Miranda MERRON,,38.2586111111111,-21.7466666666667,176,6.95,3.7,17.5,9.7,3.6,344.3
2020-11-13 17:00:00,Miranda MERRON,,38.1569444444444,-21.8030555555556,204,4.11,2.11,17.5,10.8,0.7,141.4
2020-11-13 21:00:00,Miranda MERRON,,38.0455555555556,-21.8977777777778,214,3.72,1.76,18.0,7.9,0.4,118.3
2020-11-14 04:00:00,Miranda MERRON,,37.6491666666667,-21.9675,188,6.35,3.43,17.8,17.3,7.9,324.7
2020-11-14 08:00:00,Miranda MERRON,,37.2797222222222,-22.2369444444444,210,11.87,5.81,18.2,19.8,14.8,326.8
2020-11-14 11:00:00,Miranda MERRON,,36.9627777777778,-22.3952777777778,202,12.63,6.52,18.6,23.4,15.1,321.8
2020-11-14 14:00:00,Miranda MERRON,,36.6719444444444,-22.5477777777778,203,11.7,5.99,19.1,19.1,13.3,303.2
2020-11-14 17:00:00,Miranda MERRON,,36.3291666666667,-22.6408333333333,192,13.0,6.95,19.7,25.6,19.8,325.6
2020-11-14 21:00:00,Miranda MERRON,,35.7558333333333,-22.7661111111111,190,16.19,8.69,19.9,24.1,15.1,329.7
2020-11-15 04:00:00,Miranda MERRON,,35.0141666666667,-22.5938888888889,169,11.98,6.27,20.0,24.8,18.7,354.9
2020-11-15 08:00:00,Miranda MERRON,,34.5708333333333,-22.0441666666667,135,17.59,6.16,20.2,28.8,21.6,20.0
2020-11-15 11:00:00,Miranda MERRON,,34.0683333333333,-21.8447222222222,162,19.59,9.72,20.4,34.2,21.6,26.6
2020-11-15 14:00:00,Miranda MERRON,,33.5102777777778,-21.5452777777778,156,22.65,10.63,20.5,39.2,25.2,16.1
2020-11-15 17:00:00,Miranda MERRON,,32.9755555555556,-21.1952777777778,151,22.59,10.02,20.6,41.8,28.1,13.5
2020-11-15 21:00:00,Miranda MERRON,,32.2272222222222,-20.7572222222222,154,23.19,10.49,21.5,38.9,27.4,4.0
2020-11-16 04:00:00,Miranda MERRON,,31.1991666666667,-21.4202777777778,209,18.63,9.41,21.1,30.2,20.9,334.7
2020-11-16 08:00:00,Miranda MERRON,,30.6552777777778,-21.5836111111111,194,15.61,8.36,21.4,18.0,11.2,320.0
2020-11-16 11:00:00,Miranda MERRON,,30.3497222222222,-21.8327777777778,215,13.85,6.58,21.3,14.4,6.8,3.5
2020-11-16 14:00:00,Miranda MERRON,,30.1419444444444,-21.8877777777778,193,7.91,4.24,21.3,6.5,4.3,137.2
2020-11-16 17:00:00,Miranda MERRON,,29.9497222222222,-21.9980555555556,206,7.95,4.03,21.6,10.4,8.3,149.0
2020-11-16 21:00:00,Miranda MERRON,,29.6280555555556,-22.0733333333333,191,9.13,4.91,22.1,15.8,9.7,135.6
2020-11-17 04:00:00,Miranda MERRON,,29.2030555555556,-21.8947222222222,160,7.19,3.49,21.7,18.7,10.8,169.0
2020-11-17 08:00:00,Miranda MERRON,,29.1005555555556,-21.9325,198,3.0,1.58,21.4,8.6,2.5,198.5
2020-11-17 11:00:00,Miranda MERRON,,29.0658333333333,-21.9502777777778,204,1.41,0.72,21.6,7.9,1.1,214.8
2020-11-17 14:00:00,Miranda MERRON,,28.9602777777778,-22.0188888888889,210,4.5,2.23,21.6,11.2,5.8,353.8
2020-11-17 17:00:00,Miranda MERRON,,28.8119444444444,-22.2741666666667,236,9.95,3.43,21.7,19.8,15.1,357.3
2020-11-17 21:00:00,Miranda MERRON,,28.5905555555556,-22.7880555555556,244,13.96,3.99,21.9,27.7,19.4,29.1
2020-11-18 04:00:00,Miranda MERRON,,28.1669444444444,-24.11,250,19.67,4.48,22.4,39.6,29.5,37.2
2020-11-18 08:00:00,Miranda MERRON,,27.5741666666667,-24.4666666666667,208,18.67,9.05,22.7,46.8,35.3,45.0
2020-11-18 11:00:00,Miranda MERRON,,26.9711111111111,-24.6405555555556,194,23.08,12.14,22.8,47.9,36.7,48.4
2020-11-18 14:00:00,Miranda MERRON,,26.2808333333333,-24.7494444444444,188,25.84,13.84,23.0,50.4,38.5,48.3
2020-11-18 17:00:00,Miranda MERRON,,25.5705555555556,-24.8894444444444,190,26.72,14.24,23.3,53.3,40.3,48.7
2020-11-18 21:00:00,Miranda MERRON,,24.6633333333333,-25.0813888888889,191,25.67,13.63,23.5,55.4,43.6,47.6
2020-11-19 04:00:00,Miranda MERRON,,23.0027777777778,-25.4586111111111,192,26.95,14.24,24.1,55.4,42.1,51.9
2020-11-19 08:00:00,Miranda MERRON,,22.0944444444444,-25.7105555555556,194,26.06,13.56,24.3,55.1,42.1,48.7
2020-11-19 11:00:00,Miranda MERRON,,21.4069444444444,-25.9086111111111,195,26.37,13.63,24.5,55.1,42.5,53.2
2020-11-19 14:00:00,Miranda MERRON,,20.7272222222222,-26.0813888888889,193,25.89,13.45,24.7,50.8,40.0,53.8
2020-11-19 17:00:00,Miranda MERRON,,20.1047222222222,-26.3269444444444,200,24.59,12.18,24.9,49.3,37.1,54.1
2020-11-19 21:00:00,Miranda MERRON,,19.1702777777778,-26.6275,197,27.13,13.74,25.0,44.6,34.6,54.7
2020-11-20 04:00:00,Miranda MERRON,,17.6575,-27.1172222222222,197,25.13,12.77,25.0,43.9,34.9,47.5
2020-11-20 08:00:00,Miranda MERRON,,16.8233333333333,-27.2044444444444,186,23.3,12.42,25.3,45.4,32.8,45.2
2020-11-20 11:00:00,Miranda MERRON,,16.1872222222222,-27.2869444444444,187,23.76,12.61,25.7,40.0,30.6,49.1
2020-11-20 14:00:00,Miranda MERRON,,15.6141666666667,-27.4011111111111,191,21.61,11.3,26.2,34.6,26.6,50.1
2020-11-20 17:00:00,Miranda MERRON,,15.0830555555556,-27.5194444444444,192,20.13,10.45,26.3,32.8,23.4,62.9
2020-11-20 21:00:00,Miranda MERRON,,14.4886111111111,-27.715,198,17.35,8.62,26.2,20.9,14.4,58.6
2020-11-21 04:00:00,Miranda MERRON,,13.6808333333333,-27.6244444444444,174,12.91,6.97,25.9,21.2,16.2,19.8
2020-11-21 08:00:00,Miranda MERRON,,13.3863888888889,-27.6686111111111,188,8.28,4.3,26.0,29.2,21.6,32.9
2020-11-21 11:00:00,Miranda MERRON,,13.0938888888889,-27.8,204,11.83,5.46,26.4,30.6,20.9,37.7
2020-11-21 14:00:00,Miranda MERRON,,12.6152777777778,-27.7477777777778,174,17.83,9.63,26.7,28.1,18.0,48.7
2020-11-21 17:00:00,Miranda MERRON,,12.2605555555556,-27.8416666666667,194,13.58,6.76,26.9,22.3,15.1,51.5
2020-11-21 21:00:00,Miranda MERRON,,11.6175,-27.9194444444444,187,18.0,9.38,26.9,20.9,16.9,68.9
2020-11-22 04:00:00,Miranda MERRON,,10.4933333333333,-28.1502777777778,191,18.22,9.22,26.8,22.0,17.3,73.8
2020-11-22 08:00:00,Miranda MERRON,,9.85,-28.2491666666667,189,18.09,9.29,27.5,23.8,16.6,75.3
2020-11-22 11:00:00,Miranda MERRON,,9.3975,-28.2827777777778,184,16.82,8.8,27.5,23.4,14.8,68.2
2020-11-22 14:00:00,Miranda MERRON,,8.95777777777778,-28.2422222222222,175,16.37,8.81,27.5,23.8,15.1,60.4
2020-11-22 17:00:00,Miranda MERRON,,8.51166666666667,-28.1802777777778,172,16.69,9.0,26.2,20.2,13.7,93.8
2020-11-22 21:00:00,Miranda MERRON,,8.00972222222222,-28.2488888888889,188,14.08,7.22,25.6,17.3,11.9,48.4
2020-11-23 04:00:00,Miranda MERRON,,7.34194444444444,-28.2858333333333,183,10.63,5.55,25.3,18.4,9.0,88.2
2020-11-23 08:00:00,Miranda MERRON,,7.03111111111111,-28.2008333333333,165,8.95,4.82,26.1,21.6,11.5,111.0
2020-11-23 11:00:00,Miranda MERRON,,6.82055555555556,-28.3258333333333,211,10.87,4.35,26.0,20.9,12.2,116.6
2020-11-23 14:00:00,Miranda MERRON,,6.35333333333333,-28.5188888888889,202,16.06,7.17,25.3,17.6,18.7,119.3
2020-11-23 17:00:00,Miranda MERRON,,6.04444444444444,-28.4944444444444,175,11.48,6.14,25.7,32.0,22.3,123.1
2020-11-23 21:00:00,Miranda MERRON,,5.62722222222222,-28.4313888888889,171,11.72,6.32,25.7,34.2,12.2,114.4
2020-11-24 04:00:00,Miranda MERRON,,5.07166666666667,-28.5302777777778,190,8.96,4.48,25.6,36.0,10.8,268.3
2020-11-24 08:00:00,Miranda MERRON,,4.74166666666667,-28.5136111111111,177,9.19,4.89,25.6,20.5,14.4,204.0
2020-11-24 11:00:00,Miranda MERRON,,4.47027777777778,-28.3686111111111,152,11.39,5.94,25.0,18.7,7.6,235.8
2020-11-24 14:00:00,Miranda MERRON,,4.26972222222222,-28.4,189,7.52,3.78,25.1,19.8,8.3,222.1
2020-11-24 17:00:00,Miranda MERRON,,4.12361111111111,-28.4027777777778,181,5.43,2.84,25.6,19.4,9.4,182.5
2020-11-24 21:00:00,Miranda MERRON,,3.78055555555556,-28.3455555555556,171,9.67,5.21,26.4,23.4,12.6,147.4
2020-11-25 04:00:00,Miranda MERRON,,3.20416666666667,-28.5083333333333,196,9.52,4.51,26.0,22.7,13.0,128.2
2020-11-25 08:00:00,Miranda MERRON,,2.71583333333333,-28.7438888888889,206,15.08,6.33,26.2,19.4,15.8,132.7
2020-11-25 11:00:00,Miranda MERRON,,2.19972222222222,-28.9075,198,20.06,9.26,26.9,23.8,21.6,125.1
2020-11-25 14:00:00,Miranda MERRON,,1.67138888888889,-29.0494444444444,195,20.28,9.56,27.0,24.1,19.8,114.9
2020-11-25 17:00:00,Miranda MERRON,,1.12361111111111,-29.15,190,20.65,10.11,26.4,30.6,22.0,108.5
2020-11-25 21:00:00,Miranda MERRON,,0.379722222222222,-29.3166666666667,193,21.19,10.14,25.9,33.1,23.0,112.3
2020-11-26 04:00:00,Miranda MERRON,,-0.863333333333333,-29.6275,194,20.35,9.56,25.4,31.3,23.0,107.9
2020-11-26 08:00:00,Miranda MERRON,,-1.61888888888889,-29.925,201,22.58,9.6,25.7,36.4,27.7,115.3
2020-11-26 11:00:00,Miranda MERRON,,-2.18722222222222,-30.0644444444444,194,21.69,10.02,26.5,37.1,30.6,116.5
2020-11-26 14:00:00,Miranda MERRON,,-2.77833333333333,-30.3166666666667,203,23.82,9.7,26.9,42.1,31.0,120.6
2020-11-26 17:00:00,Miranda MERRON,,-3.35222222222222,-30.5202777777778,200,22.56,9.57,26.8,42.5,32.4,126.7
2020-11-26 21:00:00,Miranda MERRON,,-4.08805555555556,-30.7961111111111,201,21.84,9.05,26.6,46.8,34.9,129.9
2020-11-27 04:00:00,Miranda MERRON,,-5.43333333333333,-31.4161111111111,205,23.52,8.98,26.1,49.0,36.7,129.5
2020-11-27 08:00:00,Miranda MERRON,,-6.20444444444444,-31.7988888888889,206,23.91,8.53,25.9,47.2,36.0,114.8
2020-11-27 11:00:00,Miranda MERRON,,-6.83527777777778,-32.0502777777778,202,25.15,9.57,26.4,48.2,34.2,117.5
2020-11-27 14:00:00,Miranda MERRON,,-7.48166666666667,-32.2461111111111,197,25.02,10.15,26.6,43.9,31.3,123.1
2020-11-27 17:00:00,Miranda MERRON,,-8.07777777777778,-32.4619444444444,200,23.46,8.93,27.0,38.5,29.5,129.6
2020-11-27 21:00:00,Miranda MERRON,,-8.82194444444444,-32.7605555555556,202,22.26,8.03,26.7,41.4,31.3,126.9
2020-11-28 04:00:00,Miranda MERRON,,-10.1336111111111,-33.2722222222222,201,22.32,7.94,25.8,37.4,28.8,119.2
2020-11-28 08:00:00,Miranda MERRON,,-10.9233333333333,-33.4963888888889,196,22.8,8.61,25.9,36.7,25.9,104.9
2020-11-28 11:00:00,Miranda MERRON,,-11.6088888888889,-33.5741666666667,186,25.56,10.92,26.3,36.0,28.1,99.7
2020-11-28 14:00:00,Miranda MERRON,,-12.3097222222222,-33.7008333333333,190,26.39,10.51,25.7,38.5,28.1,102.4
2020-11-28 17:00:00,Miranda MERRON,,-12.9808333333333,-33.7938888888889,188,25.09,10.18,25.6,35.3,26.6,108.1
2020-11-28 21:00:00,Miranda MERRON,,-13.7480555555556,-33.9308333333333,190,21.65,8.33,25.2,40.7,28.4,111.5
2020-11-29 04:00:00,Miranda MERRON,,-15.0094444444444,-34.2186111111111,192,20.52,7.33,25.2,43.6,33.1,105.0
2020-11-29 08:00:00,Miranda MERRON,,-15.8755555555556,-34.3338888888889,187,24.28,9.1,25.6,41.4,29.9,97.6
2020-11-29 11:00:00,Miranda MERRON,,-16.5258333333333,-34.3933333333333,185,24.21,9.16,25.5,39.6,29.5,91.1
2020-11-29 14:00:00,Miranda MERRON,,-17.1733333333333,-34.4277777777778,183,24.04,9.22,25.6,39.2,27.7,87.9
2020-11-29 17:00:00,Miranda MERRON,,-17.7672222222222,-34.4663888888889,184,22.06,8.17,25.1,35.3,26.6,93.1
2020-11-29 21:00:00,Miranda MERRON,,-18.5663888888889,-34.4863888888889,181,22.22,8.36,24.9,33.5,25.2,90.7
2020-11-30 04:00:00,Miranda MERRON,,-19.8433333333333,-34.4641666666667,179,20.28,7.7,24.5,32.4,24.1,75.2
2020-11-30 08:00:00,Miranda MERRON,,-20.6041666666667,-34.3727777777778,174,21.28,8.23,24.0,35.6,26.3,66.8
2020-11-30 11:00:00,Miranda MERRON,,-21.2536111111111,-34.2994444444444,174,24.21,9.26,24.3,38.2,28.4,51.7
2020-11-30 14:00:00,Miranda MERRON,,-21.9108333333333,-34.1425,167,24.95,10.53,23.5,29.9,22.7,46.8
2020-11-30 17:00:00,Miranda MERRON,,-22.4652777777778,-33.8394444444444,153,23.02,11.32,23.6,28.8,21.2,37.4
2020-11-30 21:00:00,Miranda MERRON,,-23.1025,-33.4163888888889,148,20.76,10.54,24.1,33.8,22.3,42.0
2020-12-01 04:00:00,Miranda MERRON,,-24.0830555555556,-32.6627777777778,145,19.06,9.86,23.8,29.2,19.8,22.3
2020-12-01 08:00:00,Miranda MERRON,,-24.5608333333333,-32.1947222222222,138,17.8,9.45,23.7,28.1,20.2,27.9
2020-12-01 11:00:00,Miranda MERRON,,-24.9494444444444,-31.9030555555556,146,17.45,8.94,23.8,30.2,23.0,23.7
2020-12-01 14:00:00,Miranda MERRON,,-25.4175,-31.6377777777778,153,19.5,9.5,24.0,32.4,26.3,8.2
2020-12-01 17:00:00,Miranda MERRON,,-25.8675,-31.1697222222222,137,22.85,12.17,23.9,29.9,21.2,353.0
2020-12-01 21:00:00,Miranda MERRON,,-26.3219444444444,-30.5588888888889,130,19.8,10.68,23.6,24.5,16.2,1.1
2020-12-02 04:00:00,Miranda MERRON,,-27.0625,-29.5258333333333,129,18.8,10.14,22.8,23.8,18.4,3.5
2020-12-02 08:00:00,Miranda MERRON,,-27.485,-28.9116666666667,128,19.19,10.36,22.8,27.7,21.2,353.9
2020-12-02 11:00:00,Miranda MERRON,,-27.8705555555556,-28.4341666666667,132,21.21,11.38,23.0,26.3,22.7,346.0
2020-12-02 14:00:00,Miranda MERRON,,-28.2013888888889,-27.9,125,21.35,11.53,23.0,26.6,22.3,332.6
2020-12-02 17:00:00,Miranda MERRON,,-28.4627777777778,-27.4330555555556,122,18.06,9.74,23.0,26.6,20.9,324.8
2020-12-02 21:00:00,Miranda MERRON,,-28.7847222222222,-26.9477777777778,127,14.85,8.01,22.3,28.8,21.2,349.5
2020-12-03 04:00:00,Miranda MERRON,,-29.5613888888889,-25.7508333333333,126,20.69,11.16,21.7,32.0,24.5,355.9
2020-12-03 08:00:00,Miranda MERRON,,-29.9658333333333,-25.0188888888889,122,20.93,11.3,21.8,30.2,21.6,348.0
2020-12-03 11:00:00,Miranda MERRON,,-30.315,-24.5375,130,20.13,10.81,21.9,28.1,22.3,342.2
2020-12-03 14:00:00,Miranda MERRON,,-30.6986111111111,-24.0391666666667,132,21.34,11.41,21.7,23.0,19.8,344.9
2020-12-03 17:00:00,Miranda MERRON,,-30.9986111111111,-23.4902777777778,122,20.71,11.18,21.7,27.4,20.9,359.9
2020-12-03 21:00:00,Miranda MERRON,,-31.4994444444444,-22.8455555555556,132,20.71,11.04,21.0,28.8,24.5,357.8
2020-12-04 04:00:00,Miranda MERRON,,-32.2852777777778,-21.7,129,19.87,10.66,20.3,33.5,27.4,340.2
2020-12-04 08:00:00,Miranda MERRON,,-32.7591666666667,-20.9675,127,21.63,11.63,20.1,31.3,24.1,326.5
2020-12-04 11:00:00,Miranda MERRON,,-33.1216666666667,-20.4163888888889,128,21.78,11.68,20.3,29.5,23.0,340.0
2020-12-04 14:00:00,Miranda MERRON,,-33.4880555555556,-19.9180555555556,131,20.56,10.92,19.9,32.8,23.8,345.6
2020-12-04 17:00:00,Miranda MERRON,,-33.8391666666667,-19.3505555555556,126,21.82,11.72,19.9,29.5,24.1,342.4
2020-12-04 21:00:00,Miranda MERRON,,-34.2038888888889,-18.5488888888889,119,21.08,11.37,19.7,31.3,23.4,344.2
2020-12-05 04:00:00,Miranda MERRON,,-34.8380555555556,-17.1005555555556,118,21.46,11.58,19.4,34.2,26.6,344.7
2020-12-05 08:00:00,Miranda MERRON,,-35.1991666666667,-16.1588888888889,115,23.67,12.75,19.1,40.0,31.3,339.7
2020-12-05 11:00:00,Miranda MERRON,,-35.4927777777778,-15.4941666666667,118,22.85,12.34,18.8,38.9,29.5,333.3
2020-12-05 14:00:00,Miranda MERRON,,-35.7941666666667,-14.8047222222222,118,23.58,12.73,18.6,38.2,30.6,334.6
2020-12-05 17:00:00,Miranda MERRON,,-36.0238888888889,-14.1925,115,20.26,10.92,18.6,38.9,31.3,326.4
2020-12-05 21:00:00,Miranda MERRON,,-36.2938888888889,-13.16,108,24.35,12.97,18.9,42.1,30.6,334.7
2020-12-06 04:00:00,Miranda MERRON,,-36.9175,-11.2763888888889,112,25.98,13.97,17.9,46.8,37.1,336.2
2020-12-06 08:00:00,Miranda MERRON,,-37.2858333333333,-10.1441666666667,112,27.11,14.6,17.7,48.2,36.7,325.2
2020-12-06 11:00:00,Miranda MERRON,,-37.5305555555556,-9.31333333333333,110,26.09,14.03,17.2,46.1,35.6,323.6
2020-12-06 14:00:00,Miranda MERRON,,-37.8436111111111,-8.42083333333333,114,28.63,15.46,17.2,45.7,34.6,322.6
2020-12-06 17:00:00,Miranda MERRON,,-38.085,-7.52694444444444,109,27.61,14.84,17.2,44.3,33.8,319.0
2020-12-06 21:00:00,Miranda MERRON,,-38.3661111111111,-6.36805555555556,107,26.48,14.2,16.5,41.8,32.8,323.9
2020-12-07 04:00:00,Miranda MERRON,,-38.8633333333333,-4.32055555555556,107,26.61,14.28,15.4,37.4,25.9,309.3
2020-12-07 08:00:00,Miranda MERRON,,-38.9808333333333,-3.51694444444444,100,17.69,9.35,14.5,21.6,12.2,235.1
2020-12-07 11:00:00,Miranda MERRON,,-39.0575,-3.05194444444444,102,13.69,7.28,14.3,13.3,13.7,180.2
2020-12-07 14:00:00,Miranda MERRON,,-39.0788888888889,-2.7775,96,7.95,4.12,14.2,14.0,13.3,181.4
2020-12-07 17:00:00,Miranda MERRON,,-39.2941666666667,-2.43166666666667,129,12.74,6.58,13.6,16.2,14.0,201.1
2020-12-07 21:00:00,Miranda MERRON,,-39.6947222222222,-1.97361111111111,138,14.85,7.13,12.7,16.9,12.2,218.3
2020-12-08 04:00:00,Miranda MERRON,,-40.4791666666667,-1.27305555555556,145,15.09,6.68,12.1,25.6,20.9,274.2
2020-12-08 08:00:00,Miranda MERRON,,-41.0819444444444,-0.825,150,19.22,7.81,12.3,29.9,23.4,294.0
2020-12-08 11:00:00,Miranda MERRON,,-41.5991666666667,-0.494444444444444,154,21.26,7.98,12.5,36.0,27.4,289.5
2020-12-08 14:00:00,Miranda MERRON,,-41.7447222222222,0.0869444444444444,108,16.98,9.17,12.5,36.7,28.4,285.4
2020-12-08 17:00:00,Miranda MERRON,,-41.6280555555556,0.848611111111111,78,21.52,10.18,12.3,35.6,28.1,282.8
2020-12-08 21:00:00,Miranda MERRON,,-41.5294444444444,1.76472222222222,82,19.24,9.38,11.9,31.3,25.6,285.7
2020-12-09 04:00:00,Miranda MERRON,,-41.5697222222222,3.20416666666667,92,17.13,8.92,11.4,38.5,28.8,282.9
2020-12-09 08:00:00,Miranda MERRON,,-41.8608333333333,3.91444444444444,119,16.82,8.87,11.7,41.8,31.7,296.8
2020-12-09 11:00:00,Miranda MERRON,,-41.8897222222222,4.69194444444444,93,21.48,11.31,11.8,41.8,34.6,307.4
2020-12-09 14:00:00,Miranda MERRON,,-41.9036111111111,5.58333333333333,91,24.59,12.86,12.0,46.1,36.0,305.7
2020-12-09 17:00:00,Miranda MERRON,,-41.9302777777778,6.45222222222222,92,23.98,12.62,12.5,49.0,36.7,306.8
2020-12-09 21:00:00,Miranda MERRON,,-41.9233333333333,7.81777777777778,89,28.24,14.69,12.1,46.8,36.0,314.9
2020-12-10 04:00:00,Miranda MERRON,,-42.0444444444444,10.1502777777778,93,27.61,14.63,12.6,51.5,37.8,302.3
2020-12-10 08:00:00,Miranda MERRON,,-42.0819444444444,11.4538888888889,92,26.93,14.25,13.9,54.0,39.6,297.0
2020-12-10 11:00:00,Miranda MERRON,,-41.9941666666667,12.4227777777778,83,26.87,13.63,14.5,49.0,36.7,298.8
2020-12-10 14:00:00,Miranda MERRON,,-41.9297222222222,13.4302777777778,85,27.87,14.32,15.4,60.8,44.3,299.0
2020-12-10 17:00:00,Miranda MERRON,,-41.8613888888889,14.4744444444444,85,28.91,14.86,16.2,58.0,43.2,295.3
2020-12-10 21:00:00,Miranda MERRON,,-41.8088888888889,15.7897222222222,86,27.28,14.17,15.3,57.6,43.6,302.8
2020-12-11 04:00:00,Miranda MERRON,,-41.7038888888889,17.6108333333333,85,21.65,11.16,13.1,74.2,54.4,213.6
2020-12-11 08:00:00,Miranda MERRON,,-41.6430555555556,18.8547222222222,86,25.89,13.43,12.3,60.8,43.6,213.5
2020-12-11 11:00:00,Miranda MERRON,,-41.4827777777778,19.7755555555556,77,26.22,12.81,11.6,57.6,31.3,218.0
2020-12-11 14:00:00,Miranda MERRON,,-41.4783333333333,20.6666666666667,89,24.74,13.03,11.9,50.0,30.2,224.0
2020-12-11 17:00:00,Miranda MERRON,,-41.6536111111111,21.5780555555556,104,26.09,14.08,12.4,47.5,30.2,230.2
2020-12-11 21:00:00,Miranda MERRON,,-41.9705555555556,22.6263888888889,112,23.45,12.44,12.4,41.0,30.2,237.7
2020-12-12 04:00:00,Miranda MERRON,,-42.7505555555556,24.1280555555556,125,21.54,10.57,12.4,45.4,35.3,267.6
2020-12-12 08:00:00,Miranda MERRON,,-43.2594444444444,24.9877777777778,129,22.48,10.31,11.9,32.4,24.1,277.6
2020-12-12 11:00:00,Miranda MERRON,,-43.2916666666667,25.5019444444444,95,13.93,7.52,12.0,33.1,26.6,280.9
2020-12-12 14:00:00,Miranda MERRON,,-43.1522222222222,26.2261111111111,75,20.22,10.31,12.1,31.3,24.5,284.2
2020-12-12 17:00:00,Miranda MERRON,,-43.03,26.94,77,19.85,10.2,12.3,24.8,19.1,302.8
2020-12-12 21:00:00,Miranda MERRON,,-42.9355555555556,27.8655555555556,82,19.0,10.0,12.5,29.9,24.5,326.8
2020-12-13 04:00:00,Miranda MERRON,,-42.9047222222222,29.6625,88,20.91,11.22,12.8,35.6,24.8,334.9
2020-12-13 08:00:00,Miranda MERRON,,-42.9169444444444,30.7225,91,21.58,11.63,12.3,32.0,25.6,356.2
2020-12-13 11:00:00,Miranda MERRON,,-42.955,31.5422222222222,93,22.3,12.04,11.7,31.3,24.8,355.2
