date,skipper,boat,latitude,longitude,heading,kph,vmg,temp,windgust,windspeed,winddir
2020-11-08 12:02:00,Stéphane LE DIRAISON,,46.5022222222222,-1.79,0,0.0,0.0,16.2,22.5,14.1,128
2020-11-08 14:00:00,Stéphane LE DIRAISON,,46.4175,-1.81916666666667,357,0.0,0.0,18.4,27.4,15.1,142
2020-11-08 15:00:00,Stéphane LE DIRAISON,,46.3055555555556,-2.34944444444444,253,28.37,15.0,16.7,35.2,18.7,142.0
2020-11-08 17:00:00,Stéphane LE DIRAISON,,46.2366666666667,-3.06722222222222,262,37.13,18.57,15.1,35.3,22.3,150.0
2020-11-08 21:00:00,Stéphane LE DIRAISON,,46.0866666666667,-4.38694444444444,260,25.74,12.79,16.8,26.6,21.2,198.8
2020-11-09 04:00:00,Stéphane LE DIRAISON,,45.9125,-5.96222222222222,260,17.59,8.31,15.2,48.2,36.7,215.7
2020-11-09 08:00:00,Stéphane LE DIRAISON,,45.9911111111111,-6.76888888888889,278,17.98,5.36,14.6,34.6,26.6,240.0
2020-11-09 11:00:00,Stéphane LE DIRAISON,,46.1419444444444,-7.37916666666667,289,16.67,2.02,15.2,31.0,21.2,249.4
2020-11-09 14:00:00,Stéphane LE DIRAISON,,45.6819444444444,-7.56555555555556,196,17.71,9.45,15.0,31.0,23.4,251.3
2020-11-09 17:00:00,Stéphane LE DIRAISON,,45.2102777777778,-7.89527777777778,206,19.46,10.51,15.2,29.5,22.7,279.1
2020-11-09 21:00:00,Stéphane LE DIRAISON,,44.5188888888889,-8.40083333333333,207,19.24,10.39,15.2,24.8,19.4,269.9
2020-11-10 04:00:00,Stéphane LE DIRAISON,,43.7736111111111,-8.64833333333333,193,12.17,6.47,12.7,20.5,8.3,226
2020-11-10 08:00:00,Stéphane LE DIRAISON,,43.4225,-8.70638888888889,187,9.83,5.18,12.3,20.2,9.4,164
2020-11-10 11:00:00,Stéphane LE DIRAISON,,43.2022222222222,-9.17333333333333,237,15.0,8.1,13.9,21.6,10.1,150
2020-11-10 14:00:00,Stéphane LE DIRAISON,,42.8947222222222,-9.6225,227,16.67,8.21,14.8,24.5,22.0,180.3
2020-11-10 17:00:00,Stéphane LE DIRAISON,,42.5627777777778,-10.0091666666667,220,19.43,9.96,15.6,25.6,21.2,180.2
2020-11-10 21:00:00,Stéphane LE DIRAISON,,42.0469444444444,-10.7883333333333,228,19.11,9.25,16.5,33.1,26.3,181.3
2020-11-11 04:00:00,Stéphane LE DIRAISON,,41.4422222222222,-12.1930555555556,240,19.22,8.08,17.5,50.0,38.2,207.6
2020-11-11 08:00:00,Stéphane LE DIRAISON,,41.1491666666667,-13.0938888888889,246,20.5,7.5,17.7,56.5,41.0,197.0
2020-11-11 11:00:00,Stéphane LE DIRAISON,,41.0372222222222,-13.8313888888889,258,21.02,5.57,18.2,51.1,41.8,210.2
2020-11-11 14:00:00,Stéphane LE DIRAISON,,41.0347222222222,-14.4461111111111,269,17.19,2.75,16.8,35.6,24.5,344.9
2020-11-11 17:00:00,Stéphane LE DIRAISON,,40.8925,-15.0944444444444,254,18.89,5.45,16.3,35.3,24.5,33.8
2020-11-11 21:00:00,Stéphane LE DIRAISON,,40.8869444444444,-15.8902777777778,269,16.72,2.45,16.3,28.1,18.4,67.3
2020-11-12 04:00:00,Stéphane LE DIRAISON,,40.2805555555556,-17.1575,237,18.08,7.07,18.5,26.6,17.3,180.3
2020-11-12 08:00:00,Stéphane LE DIRAISON,,39.9525,-18.0580555555556,244,21.21,7.02,18.4,40.3,32.0,171.8
2020-11-12 11:00:00,Stéphane LE DIRAISON,,39.6647222222222,-18.9425,247,27.34,8.25,18.9,43.9,27.7,163.0
2020-11-12 14:00:00,Stéphane LE DIRAISON,,39.6261111111111,-19.5052777777778,265,16.13,2.21,19.0,14.8,17.3,327.0
2020-11-12 17:00:00,Stéphane LE DIRAISON,,39.2894444444444,-20.0094444444444,229,19.08,7.84,18.0,47.2,37.4,355.2
2020-11-12 21:00:00,Stéphane LE DIRAISON,,38.6488888888889,-20.8386111111111,225,25.26,10.88,17.3,38.2,25.2,10.2
2020-11-13 04:00:00,Stéphane LE DIRAISON,,37.9261111111111,-21.9130555555556,229,17.65,7.03,17.2,20.9,12.6,60.8
2020-11-13 08:00:00,Stéphane LE DIRAISON,,37.3827777777778,-21.9475,183,15.13,8.16,17.8,18.4,13.0,48.9
2020-11-13 11:00:00,Stéphane LE DIRAISON,,36.9313888888889,-22.2002777777778,204,18.32,9.36,18.9,23.0,16.9,85.6
2020-11-13 14:00:00,Stéphane LE DIRAISON,,36.455,-22.5733333333333,212,20.84,9.99,19.8,27.7,21.6,82.3
2020-11-13 17:00:00,Stéphane LE DIRAISON,,35.7963888888889,-22.9055555555556,202,26.35,13.54,20.4,28.8,23.0,66.3
2020-11-13 21:00:00,Stéphane LE DIRAISON,,34.9458333333333,-23.1736111111111,194,24.41,12.95,21.1,37.8,30.6,45.7
2020-11-14 04:00:00,Stéphane LE DIRAISON,,33.9425,-24.3744444444444,224,22.39,9.11,20.3,54.7,43.6,4.3
2020-11-14 08:00:00,Stéphane LE DIRAISON,,33.1433333333333,-25.1538888888889,219,28.63,12.22,20.2,51.5,37.8,352.0
2020-11-14 11:00:00,Stéphane LE DIRAISON,,32.6144444444444,-25.5647222222222,213,23.41,10.56,20.5,49.0,34.6,345.0
2020-11-14 14:00:00,Stéphane LE DIRAISON,,32.0213888888889,-26.0191666666667,213,26.19,11.75,21.3,43.9,32.0,343.3
2020-11-14 17:00:00,Stéphane LE DIRAISON,,31.37,-26.4166666666667,207,27.21,12.82,21.9,38.9,29.5,342.6
2020-11-14 21:00:00,Stéphane LE DIRAISON,,30.6430555555556,-26.79,204,22.08,10.68,21.5,33.8,23.8,0.2
2020-11-15 04:00:00,Stéphane LE DIRAISON,,29.6516666666667,-27.7427777777778,219,20.46,8.09,21.6,24.1,17.6,9.6
2020-11-15 08:00:00,Stéphane LE DIRAISON,,29.1277777777778,-27.7591666666667,182,14.58,7.81,21.8,22.0,14.0,18.0
2020-11-15 11:00:00,Stéphane LE DIRAISON,,28.7491666666667,-27.5027777777778,149,16.32,7.99,21.7,22.3,15.1,24.6
2020-11-15 14:00:00,Stéphane LE DIRAISON,,28.3302777777778,-27.3794444444444,166,16.04,8.54,22.0,21.2,13.3,33.4
2020-11-15 17:00:00,Stéphane LE DIRAISON,,27.9138888888889,-27.3138888888889,172,15.58,8.4,22.6,17.6,12.2,47.8
2020-11-15 21:00:00,Stéphane LE DIRAISON,,27.4161111111111,-27.2416666666667,173,13.96,7.53,23.0,20.5,13.0,76.5
2020-11-16 04:00:00,Stéphane LE DIRAISON,,26.4375,-27.4730555555556,192,15.89,8.22,22.3,13.7,6.8,113.8
2020-11-16 08:00:00,Stéphane LE DIRAISON,,26.0183333333333,-27.4425,176,11.69,6.3,22.6,12.6,7.6,78.9
2020-11-16 11:00:00,Stéphane LE DIRAISON,,25.7019444444444,-27.4777777777778,186,11.78,6.24,22.8,18.0,11.9,86.5
2020-11-16 14:00:00,Stéphane LE DIRAISON,,25.2597222222222,-27.5180555555556,185,16.45,8.73,23.0,22.3,14.4,77.9
2020-11-16 17:00:00,Stéphane LE DIRAISON,,24.7783333333333,-27.5683333333333,185,17.93,9.49,23.3,25.6,19.1,72.8
2020-11-16 21:00:00,Stéphane LE DIRAISON,,23.8472222222222,-27.6211111111111,183,25.91,13.82,23.4,32.0,23.4,64.2
2020-11-17 04:00:00,Stéphane LE DIRAISON,,21.8875,-27.5794444444444,179,31.13,16.74,23.8,35.6,27.0,45.5
2020-11-17 08:00:00,Stéphane LE DIRAISON,,20.7833333333333,-27.5483333333333,179,30.71,16.5,24.2,40.7,30.6,47.2
2020-11-17 11:00:00,Stéphane LE DIRAISON,,20.1661111111111,-27.6855555555556,192,23.37,11.94,24.5,39.2,30.2,50.5
2020-11-17 14:00:00,Stéphane LE DIRAISON,,19.3944444444444,-27.7163888888889,182,28.63,15.23,24.6,39.2,29.9,48.3
2020-11-17 17:00:00,Stéphane LE DIRAISON,,18.6102777777778,-27.6836111111111,178,29.08,15.62,25.1,38.5,29.2,48.7
2020-11-17 21:00:00,Stéphane LE DIRAISON,,17.6727777777778,-27.625,177,26.11,14.05,25.3,40.3,31.7,44.1
2020-11-18 04:00:00,Stéphane LE DIRAISON,,15.7994444444444,-27.5272222222222,177,29.8,16.0,25.5,36.0,27.4,46.1
2020-11-18 08:00:00,Stéphane LE DIRAISON,,14.8075,-27.4002777777778,173,27.78,14.99,26.0,38.9,30.2,44.6
2020-11-18 11:00:00,Stéphane LE DIRAISON,,14.1719444444444,-27.3805555555556,178,23.58,12.62,26.6,36.4,27.4,46.2
2020-11-18 14:00:00,Stéphane LE DIRAISON,,13.5366666666667,-27.3947222222222,181,23.56,12.51,26.8,33.8,25.9,45.0
2020-11-18 17:00:00,Stéphane LE DIRAISON,,12.8675,-27.4186111111111,182,24.82,13.15,27.1,36.4,28.1,45.7
2020-11-18 21:00:00,Stéphane LE DIRAISON,,11.8677777777778,-27.4994444444444,185,27.87,14.62,27.3,36.4,27.0,57.2
2020-11-19 04:00:00,Stéphane LE DIRAISON,,10.0819444444444,-27.8047222222222,190,28.76,14.67,27.3,33.5,25.6,64.9
2020-11-19 08:00:00,Stéphane LE DIRAISON,,9.01833333333333,-27.7727777777778,178,29.58,15.79,27.9,34.6,24.8,66.2
2020-11-19 11:00:00,Stéphane LE DIRAISON,,8.24472222222222,-27.8127777777778,183,28.71,15.08,28.2,32.0,23.8,59.6
2020-11-19 14:00:00,Stéphane LE DIRAISON,,7.48111111111111,-27.8261111111111,181,28.3,15.16,28.2,28.4,19.8,58.8
2020-11-19 17:00:00,Stéphane LE DIRAISON,,6.81222222222222,-27.8269444444444,180,24.8,13.3,28.1,24.8,19.1,53.4
2020-11-19 21:00:00,Stéphane LE DIRAISON,,5.91277777777778,-27.8466666666667,181,25.02,13.38,27.3,24.5,16.2,66.5
2020-11-20 04:00:00,Stéphane LE DIRAISON,,4.75472222222222,-28.0111111111111,188,18.58,9.76,26.1,26.3,13.3,101.7
2020-11-20 08:00:00,Stéphane LE DIRAISON,,4.29166666666667,-28.155,197,13.46,6.7,25.9,24.5,14.8,122.2
2020-11-20 11:00:00,Stéphane LE DIRAISON,,3.92944444444444,-28.3697222222222,211,15.59,6.77,25.7,18.0,15.5,150.4
2020-11-20 14:00:00,Stéphane LE DIRAISON,,3.50055555555556,-28.5877777777778,207,17.83,8.06,26.5,18.7,18.7,154.0
2020-11-20 17:00:00,Stéphane LE DIRAISON,,3.08638888888889,-28.8272222222222,210,17.72,7.68,26.0,24.8,18.0,152.4
2020-11-20 21:00:00,Stéphane LE DIRAISON,,2.51305555555556,-29.1580555555556,210,18.41,7.74,27.3,25.2,19.8,146.8
2020-11-21 04:00:00,Stéphane LE DIRAISON,,1.46944444444444,-29.655,205,18.35,7.96,26.6,25.6,16.9,137.0
2020-11-21 08:00:00,Stéphane LE DIRAISON,,0.851111111111111,-29.8941666666667,201,18.45,8.23,26.5,26.6,19.8,127.8
2020-11-21 11:00:00,Stéphane LE DIRAISON,,0.360277777777778,-30.0113888888889,193,18.71,8.99,26.9,29.2,20.9,125.9
2020-11-21 14:00:00,Stéphane LE DIRAISON,,-0.150555555555556,-30.1066666666667,191,19.26,9.42,27.1,28.4,22.0,121.6
2020-11-21 17:00:00,Stéphane LE DIRAISON,,-0.659444444444444,-30.2325,194,19.43,9.2,26.8,31.7,24.5,120.2
2020-11-21 21:00:00,Stéphane LE DIRAISON,,-1.40944444444444,-30.39,192,21.32,10.24,26.7,40.0,28.4,113.3
2020-11-22 04:00:00,Stéphane LE DIRAISON,,-2.94444444444444,-30.6194444444444,189,24.65,12.07,26.5,34.6,27.0,105.1
2020-11-22 08:00:00,Stéphane LE DIRAISON,,-3.84666666666667,-30.5905555555556,178,25.09,13.03,26.7,35.3,25.2,102.6
2020-11-22 11:00:00,Stéphane LE DIRAISON,,-4.56333333333333,-30.5855555555556,180,26.58,13.64,26.3,34.6,25.6,107.3
2020-11-22 14:00:00,Stéphane LE DIRAISON,,-5.24,-30.6488888888889,185,25.19,12.39,27.0,33.1,22.7,107.1
2020-11-22 17:00:00,Stéphane LE DIRAISON,,-5.83777777777778,-30.6444444444444,180,22.17,11.27,26.6,29.5,21.2,115.2
2020-11-22 21:00:00,Stéphane LE DIRAISON,,-6.64055555555556,-30.7463888888889,187,22.48,10.76,26.4,30.6,23.8,114.3
2020-11-23 04:00:00,Stéphane LE DIRAISON,,-8.11222222222222,-30.74,180,23.37,11.72,25.8,36.0,28.1,112.5
2020-11-23 08:00:00,Stéphane LE DIRAISON,,-9.01194444444444,-30.6988888888889,177,25.04,12.65,26.2,37.1,27.0,105.3
2020-11-23 11:00:00,Stéphane LE DIRAISON,,-9.56833333333333,-30.6591666666667,176,24.8,12.58,26.6,31.0,24.1,106.8
2020-11-23 14:00:00,Stéphane LE DIRAISON,,-10.1888888888889,-30.6952777777778,183,19.74,9.43,24.8,34.9,24.8,110.5
2020-11-23 17:00:00,Stéphane LE DIRAISON,,-10.8080555555556,-30.6936111111111,180,22.95,11.23,25.4,35.3,26.3,114.8
2020-11-23 21:00:00,Stéphane LE DIRAISON,,-11.6447222222222,-30.8233333333333,189,23.52,10.47,25.7,33.8,24.1,115.3
2020-11-24 04:00:00,Stéphane LE DIRAISON,,-13.0552777777778,-30.7930555555556,179,22.41,10.89,24.9,38.5,26.6,103.5
2020-11-24 08:00:00,Stéphane LE DIRAISON,,-13.9261111111111,-30.7411111111111,177,24.24,11.82,24.4,36.7,25.2,94.6
2020-11-24 11:00:00,Stéphane LE DIRAISON,,-14.5275,-30.6880555555556,175,22.37,10.95,24.8,36.4,25.2,92.4
2020-11-24 14:00:00,Stéphane LE DIRAISON,,-15.2966666666667,-30.5988888888889,174,28.69,14.12,25.0,30.2,22.3,96.5
2020-11-24 17:00:00,Stéphane LE DIRAISON,,-16.0358333333333,-30.5208333333333,174,27.52,13.37,24.6,29.9,22.3,97.7
2020-11-24 21:00:00,Stéphane LE DIRAISON,,-16.9455555555556,-30.4791666666667,177,25.32,11.81,24.4,31.7,22.7,106.0
2020-11-25 04:00:00,Stéphane LE DIRAISON,,-18.3794444444444,-30.4127777777778,177,22.8,10.45,24.0,33.8,24.8,97.8
2020-11-25 08:00:00,Stéphane LE DIRAISON,,-19.2633333333333,-30.3858333333333,178,24.58,10.8,24.0,37.4,23.4,101.5
2020-11-25 11:00:00,Stéphane LE DIRAISON,,-19.8930555555556,-30.3041666666667,173,23.52,10.73,23.7,36.0,24.8,95.3
2020-11-25 14:00:00,Stéphane LE DIRAISON,,-20.5372222222222,-30.2586111111111,176,23.93,10.34,23.6,34.2,24.1,91.6
2020-11-25 17:00:00,Stéphane LE DIRAISON,,-21.0263888888889,-30.2733333333333,182,18.13,7.05,23.2,31.7,23.0,89.8
2020-11-25 21:00:00,Stéphane LE DIRAISON,,-21.7661111111111,-30.255,179,20.58,8.19,23.7,35.3,24.5,103.8
2020-11-26 04:00:00,Stéphane LE DIRAISON,,-23.3005555555556,-30.1944444444444,178,24.39,9.0,23.6,34.2,25.9,84.5
2020-11-26 08:00:00,Stéphane LE DIRAISON,,-24.2325,-30.165,178,25.93,9.34,22.9,36.7,27.0,89.2
2020-11-26 11:00:00,Stéphane LE DIRAISON,,-25.0016666666667,-30.2063888888889,183,28.54,9.24,23.1,37.8,26.6,80.8
2020-11-26 14:00:00,Stéphane LE DIRAISON,,-25.83,-30.1494444444444,176,30.76,11.27,23.3,34.6,27.0,77.1
2020-11-26 17:00:00,Stéphane LE DIRAISON,,-26.6722222222222,-30.1236111111111,178,31.22,10.89,22.6,33.5,25.9,69.8
2020-11-26 21:00:00,Stéphane LE DIRAISON,,-27.7397222222222,-30.0377777777778,176,29.76,10.81,21.7,29.2,21.2,68.3
2020-11-27 04:00:00,Stéphane LE DIRAISON,,-28.9975,-29.9622222222222,177,20.0,7.0,20.5,25.9,21.6,49.7
2020-11-27 08:00:00,Stéphane LE DIRAISON,,-29.8575,-29.6713888888889,164,24.91,10.73,20.5,32.0,22.0,34.1
2020-11-27 11:00:00,Stéphane LE DIRAISON,,-30.4958333333333,-29.2130555555556,148,27.85,13.91,20.5,27.0,17.6,24.8
2020-11-27 14:00:00,Stéphane LE DIRAISON,,-31.0422222222222,-28.8986111111111,154,22.59,10.73,20.8,24.8,18.0,7.9
2020-11-27 17:00:00,Stéphane LE DIRAISON,,-31.5405555555556,-28.4713888888889,144,22.89,11.7,20.7,25.6,19.4,359.6
2020-11-27 21:00:00,Stéphane LE DIRAISON,,-31.985,-27.8452777777778,130,19.28,10.36,20.5,22.0,15.5,352.5
2020-11-28 04:00:00,Stéphane LE DIRAISON,,-32.67,-27.0505555555556,135,15.24,8.04,19.7,24.5,16.2,322.8
2020-11-28 08:00:00,Stéphane LE DIRAISON,,-32.9797222222222,-26.1969444444444,113,21.72,11.57,19.8,14.8,10.4,300.3
2020-11-28 11:00:00,Stéphane LE DIRAISON,,-33.3019444444444,-25.9986111111111,153,13.43,6.25,20.0,17.3,12.6,315.6
2020-11-28 14:00:00,Stéphane LE DIRAISON,,-33.775,-25.9444444444444,175,17.61,5.78,19.6,15.5,11.5,282.4
2020-11-28 17:00:00,Stéphane LE DIRAISON,,-34.0347222222222,-25.7875,153,10.78,4.95,18.9,14.0,7.9,235.6
2020-11-28 21:00:00,Stéphane LE DIRAISON,,-34.3711111111111,-25.5641666666667,151,10.67,5.0,17.8,22.3,19.1,130.5
2020-11-29 04:00:00,Stéphane LE DIRAISON,,-35.5141666666667,-25.3727777777778,172,18.33,6.26,15.4,26.3,20.5,102.8
2020-11-29 08:00:00,Stéphane LE DIRAISON,,-35.9744444444444,-25.1866666666667,162,13.46,5.41,15.0,23.4,17.3,92.5
2020-11-29 11:00:00,Stéphane LE DIRAISON,,-36.3377777777778,-25.0247222222222,160,14.32,5.84,15.2,18.0,13.3,80.5
2020-11-29 14:00:00,Stéphane LE DIRAISON,,-36.6866666666667,-24.8313888888889,156,14.15,6.08,15.1,16.2,13.0,60.5
2020-11-29 17:00:00,Stéphane LE DIRAISON,,-37.0341666666667,-24.6169444444444,154,14.37,6.32,15.0,21.2,15.8,39.4
2020-11-29 21:00:00,Stéphane LE DIRAISON,,-37.5419444444444,-24.1477777777778,144,17.52,8.51,14.8,16.6,15.8,34.9
2020-11-30 04:00:00,Stéphane LE DIRAISON,,-38.52,-23.2333333333333,143,19.3,9.32,13.9,36.7,30.2,2.3
2020-11-30 08:00:00,Stéphane LE DIRAISON,,-39.1075,-22.3925,132,24.46,12.66,13.6,44.3,33.5,352.9
2020-11-30 11:00:00,Stéphane LE DIRAISON,,-39.5177777777778,-21.4697222222222,120,30.52,16.4,13.9,43.9,33.8,343.0
2020-11-30 14:00:00,Stéphane LE DIRAISON,,-39.8677777777778,-20.5741666666667,117,28.65,15.44,14.3,44.3,32.0,335.9
2020-11-30 17:00:00,Stéphane LE DIRAISON,,-40.1533333333333,-19.6536111111111,112,28.21,15.22,14.5,47.9,35.3,329.5
2020-11-30 21:00:00,Stéphane LE DIRAISON,,-40.5113888888889,-18.445,111,27.48,14.84,14.2,46.1,35.3,336.7
2020-12-01 04:00:00,Stéphane LE DIRAISON,,-41.0469444444444,-16.2133333333333,107,28.15,15.16,14.0,47.5,34.9,328.8
2020-12-01 08:00:00,Stéphane LE DIRAISON,,-41.4277777777778,-14.8797222222222,110,29.82,16.1,13.6,43.2,33.8,323.2
2020-12-01 11:00:00,Stéphane LE DIRAISON,,-41.6172222222222,-13.9925,106,25.59,13.8,13.6,41.8,32.0,328.8
2020-12-01 14:00:00,Stéphane LE DIRAISON,,-41.8872222222222,-13.0780555555556,111,27.21,14.67,13.4,42.1,32.0,327.4
2020-12-01 17:00:00,Stéphane LE DIRAISON,,-42.1511111111111,-12.1575,111,27.17,14.65,13.0,36.7,27.7,321.5
2020-12-01 21:00:00,Stéphane LE DIRAISON,,-42.4972222222222,-10.8908333333333,110,27.76,14.97,12.5,30.2,23.8,337.7
2020-12-02 04:00:00,Stéphane LE DIRAISON,,-42.9447222222222,-8.68916666666667,105,26.65,14.39,11.7,29.2,23.4,334.1
2020-12-02 08:00:00,Stéphane LE DIRAISON,,-43.1602777777778,-7.685,106,21.26,11.47,11.6,24.5,19.8,340.7
2020-12-02 11:00:00,Stéphane LE DIRAISON,,-43.305,-6.77972222222222,102,25.02,13.51,10.9,24.1,20.5,344.2
2020-12-02 14:00:00,Stéphane LE DIRAISON,,-43.4280555555556,-5.82388888888889,100,26.17,14.1,10.5,28.4,24.8,342.4
2020-12-02 17:00:00,Stéphane LE DIRAISON,,-43.5983333333333,-4.645,101,32.3,17.44,10.6,27.7,22.7,334.6
2020-12-02 21:00:00,Stéphane LE DIRAISON,,-43.7630555555556,-3.34333333333333,99,26.56,14.33,9.9,26.6,21.2,339.3
2020-12-03 04:00:00,Stéphane LE DIRAISON,,-43.7586111111111,-0.8575,89,28.52,15.06,9.0,24.5,19.1,327.2
2020-12-03 08:00:00,Stéphane LE DIRAISON,,-43.7297222222222,0.306944444444444,88,23.39,12.25,9.0,24.5,18.4,331.8
2020-12-03 11:00:00,Stéphane LE DIRAISON,,-43.7172222222222,1.24138888888889,89,25.04,13.15,9.3,20.9,19.4,336.9
2020-12-03 14:00:00,Stéphane LE DIRAISON,,-43.7225,2.21333333333333,90,26.04,13.74,9.2,20.2,18.0,332.3
2020-12-03 17:00:00,Stéphane LE DIRAISON,,-43.7427777777778,3.09638888888889,92,23.67,12.53,9.2,24.1,18.0,331.7
2020-12-03 21:00:00,Stéphane LE DIRAISON,,-43.7555555555556,4.21694444444444,91,22.5,11.89,9.4,22.0,18.4,332.4
2020-12-04 04:00:00,Stéphane LE DIRAISON,,-43.7755555555556,5.97055555555556,90,20.11,10.64,9.3,23.8,20.9,333.7
2020-12-04 08:00:00,Stéphane LE DIRAISON,,-43.8005555555556,7.14611111111111,91,23.59,12.55,8.6,32.4,25.6,1.0
2020-12-04 11:00:00,Stéphane LE DIRAISON,,-43.8686111111111,7.85805555555556,97,19.21,10.35,8.5,35.3,27.4,353.2
2020-12-04 14:00:00,Stéphane LE DIRAISON,,-43.8861111111111,8.81777777777778,91,25.65,13.67,8.5,34.6,26.3,346.8
2020-12-04 17:00:00,Stéphane LE DIRAISON,,-43.8613888888889,9.80638888888889,88,26.43,13.94,9.5,30.6,23.0,336.7
2020-12-04 21:00:00,Stéphane LE DIRAISON,,-43.9205555555556,11.0172222222222,93,24.32,13.05,10.0,29.5,23.8,330.2
2020-12-05 04:00:00,Stéphane LE DIRAISON,,-43.6688888888889,13.3358333333333,81,26.89,13.78,10.8,31.0,23.4,310.0
2020-12-05 08:00:00,Stéphane LE DIRAISON,,-43.5586111111111,14.1238888888889,79,16.15,8.21,10.6,23.0,17.3,309.7
2020-12-05 11:00:00,Stéphane LE DIRAISON,,-43.5252777777778,14.6075,84,13.06,6.84,11.3,16.9,13.0,320.8
2020-12-05 14:00:00,Stéphane LE DIRAISON,,-43.5658333333333,15.1883333333333,95,15.69,8.45,11.4,13.3,11.5,320.9
2020-12-05 17:00:00,Stéphane LE DIRAISON,,-43.6686111111111,15.6955555555556,105,14.13,7.56,11.0,15.1,6.5,298.9
2020-12-05 21:00:00,Stéphane LE DIRAISON,,-43.7236111111111,16.2619444444444,97,11.48,6.2,10.7,5.8,5.0,340.6
2020-12-06 04:00:00,Stéphane LE DIRAISON,,-43.8308333333333,16.5122222222222,121,3.33,1.65,10.2,5.8,3.6,109.4
2020-12-06 08:00:00,Stéphane LE DIRAISON,,-43.9922222222222,16.9502777777778,117,9.85,4.99,10.0,12.6,9.0,59.6
2020-12-06 11:00:00,Stéphane LE DIRAISON,,-44.0461111111111,17.4011111111111,99,12.19,6.57,10.9,13.7,11.9,38.9
2020-12-06 14:00:00,Stéphane LE DIRAISON,,-44.1788888888889,17.7961111111111,115,11.59,5.91,11.0,10.8,7.6,32.8
2020-12-06 17:00:00,Stéphane LE DIRAISON,,-44.2813888888889,18.2938888888889,106,13.76,7.3,11.4,18.4,13.7,44.8
2020-12-06 21:00:00,Stéphane LE DIRAISON,,-44.5133333333333,19.1316666666667,111,17.85,9.25,9.7,19.8,16.6,32.5
2020-12-07 04:00:00,Stéphane LE DIRAISON,,-44.5302777777778,20.4069444444444,91,14.45,7.79,9.9,23.0,18.0,18.9
2020-12-07 08:00:00,Stéphane LE DIRAISON,,-44.5666666666667,21.1680555555556,94,15.11,8.16,10.7,32.8,25.6,14.1
2020-12-07 11:00:00,Stéphane LE DIRAISON,,-44.6283333333333,21.835,97,17.74,9.55,10.8,28.8,22.7,359.8
2020-12-07 14:00:00,Stéphane LE DIRAISON,,-44.5502777777778,22.575,81,19.74,10.5,10.6,29.2,21.6,9.6
2020-12-07 17:00:00,Stéphane LE DIRAISON,,-44.3683333333333,23.2061111111111,68,18.0,8.92,10.4,35.6,27.0,23.2
2020-12-07 21:00:00,Stéphane LE DIRAISON,,-44.1722222222222,24.0766666666667,72,18.17,9.26,10.5,31.0,23.4,6.8
2020-12-08 04:00:00,Stéphane LE DIRAISON,,-43.8752777777778,25.6788888888889,75,18.89,9.78,10.4,33.5,24.5,0.7
2020-12-08 08:00:00,Stéphane LE DIRAISON,,-43.7502777777778,26.3333333333333,75,13.58,7.02,10.7,28.4,22.0,12.4
2020-12-08 11:00:00,Stéphane LE DIRAISON,,-43.7047222222222,26.8541666666667,83,14.06,7.49,10.8,22.7,18.0,9.0
2020-12-08 14:00:00,Stéphane LE DIRAISON,,-43.6561111111111,27.2872222222222,81,11.74,6.23,10.8,19.8,16.6,23.6
2020-12-08 17:00:00,Stéphane LE DIRAISON,,-43.2916666666667,27.2469444444444,355,13.54,-0.8,11.9,27.0,21.6,46.7
2020-12-08 21:00:00,Stéphane LE DIRAISON,,-42.6025,27.3341666666667,5,19.24,0.35,12.3,38.2,30.2,74.5
2020-12-09 04:00:00,Stéphane LE DIRAISON,,-41.3325,27.6397222222222,10,20.5,0.72,15.6,22.0,8.3,29.9
2020-12-09 08:00:00,Stéphane LE DIRAISON,,-41.4105555555556,28.3511111111111,98,15.0,8.08,14.5,18.4,15.1,235.0
2020-12-09 11:00:00,Stéphane LE DIRAISON,,-41.5533333333333,29.0519444444444,105,20.17,10.87,14.0,38.5,17.6,284.7
2020-12-09 14:00:00,Stéphane LE DIRAISON,,-41.7588888888889,29.7963888888889,110,21.98,11.71,12.7,44.3,24.1,310.5
2020-12-09 17:00:00,Stéphane LE DIRAISON,,-41.9269444444444,30.8277777777778,102,29.15,15.73,12.2,47.2,27.4,292.0
2020-12-09 21:00:00,Stéphane LE DIRAISON,,-42.0188888888889,32.1752777777778,95,27.97,15.06,11.5,45.4,34.6,271.0
2020-12-10 04:00:00,Stéphane LE DIRAISON,,-42.1825,34.5302777777778,95,27.87,15.02,10.8,70.6,55.8,234.9
2020-12-10 08:00:00,Stéphane LE DIRAISON,,-42.3116666666667,35.7222222222222,98,24.8,13.38,10.6,64.8,45.7,242.0
2020-12-10 11:00:00,Stéphane LE DIRAISON,,-42.4305555555556,36.5894444444444,100,24.15,13.01,11.0,54.0,40.7,246.2
2020-12-10 14:00:00,Stéphane LE DIRAISON,,-42.5636111111111,37.5227777777778,101,25.98,13.96,10.6,51.1,35.3,248.1
2020-12-10 17:00:00,Stéphane LE DIRAISON,,-42.7922222222222,38.0547222222222,120,16.8,8.11,9.3,34.2,28.4,268.0
2020-12-10 21:00:00,Stéphane LE DIRAISON,,-43.1744444444444,38.6386111111111,132,15.93,6.53,8.1,28.1,22.0,270.9
2020-12-11 04:00:00,Stéphane LE DIRAISON,,-43.0136111111111,39.4769444444444,75,10.06,5.33,8.6,16.9,11.5,303.3
